"filename", "language", "JSON", "Minecraft Function", "Markdown", "CSV", "comment", "blank", "total"
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\shop\nether-shop.mcfunction", "Minecraft Function", 0, 24, 0, 0, 2, -1, 25
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\shop\ocean-shop.mcfunction", "Minecraft Function", 0, 32, 0, 0, 3, 0, 35
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\shop\select_shop.mcfunction", "Minecraft Function", 0, 8, 0, 0, 0, 0, 8
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\shop\sky-shop.mcfunction", "Minecraft Function", 0, 40, 0, 0, 2, -1, 41
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\shop\stone-shop.mcfunction", "Minecraft Function", 0, 21, 0, 0, 2, -1, 22
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\stats.mcfunction", "Minecraft Function", 0, 3, 0, 0, 0, 0, 3
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\upgradeschmiede.mcfunction", "Minecraft Function", 0, 10, 0, 0, 0, 2, 12
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\upgradeschmiede_copy_data.mcfunction", "Minecraft Function", 0, 6, 0, 0, 0, 0, 6
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\farm_slots\stage_3\break.mcfunction", "Minecraft Function", 0, 8, 0, 0, 0, 3, 11
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\farm_slots\stage_3\cancel_break.mcfunction", "Minecraft Function", 0, 7, 0, 0, 0, 0, 7
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\farm_slots\stage_4\break.mcfunction", "Minecraft Function", 0, 16, 0, 0, 0, 8, 24
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\farm_slots\stage_4\broken_slot.mcfunction", "Minecraft Function", 0, 1, 0, 0, 0, 0, 1
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\farm_slots\stage_4\fail.mcfunction", "Minecraft Function", 0, 4, 0, 0, 0, 3, 7
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\farm_slots\stage_4\get_block_placing.mcfunction", "Minecraft Function", 0, 2, 0, 0, 0, 0, 2
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\farm_slots\stage_4\highlight_missing_block.mcfunction", "Minecraft Function", 0, 8, 0, 0, 0, 2, 10
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\farm_slots\stage_4\highlight_normal_block.mcfunction", "Minecraft Function", 0, 4, 0, 0, 0, 1, 5
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\farm_slots\stage_4\init_block.mcfunction", "Minecraft Function", 0, 11, 0, 0, 0, 4, 15
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\farm_slots\stage_4\main.mcfunction", "Minecraft Function", 0, 20, 0, 0, 11, 28, 59
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\farm_slots\stage_4\over_max.mcfunction", "Minecraft Function", 0, 3, 0, 0, 0, 1, 4
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\farm_slots\stage_4\place.mcfunction", "Minecraft Function", 0, 4, 0, 0, 0, 2, 6
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\farm_slots\stage_4\show_broken_slots.mcfunction", "Minecraft Function", 0, 11, 0, 0, 0, 3, 14
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\farm_slots\stage_4\show_broken_slots_message.mcfunction", "Minecraft Function", 0, 1, 0, 0, 0, 0, 1
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\farm_slots\stage_4\show_broken_slots_pre.mcfunction", "Minecraft Function", 0, 3, 0, 0, 0, 2, 5
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\function-timers\10s.mcfunction", "Minecraft Function", 0, 4, 0, 0, 0, 2, 6
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\function-timers\1s.mcfunction", "Minecraft Function", 0, 12, 0, 0, 1, 3, 16
