"filename", "language", "JSON", "MCMETA", "mcfunction", "comment", "blank", "total"
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\bosse\stage-3\main.mcfunction", "mcfunction", 0, 0, 30, 2, 18, 50
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\bosse\stage-4\main.mcfunction", "mcfunction", 0, 0, 33, 8, 16, 57
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\boss-keks\stage_1.mcfunction", "mcfunction", 0, 0, 5, 0, 2, 7
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\boss-keks\stage_2.mcfunction", "mcfunction", 0, 0, 5, 0, 2, 7
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\boss-keks\stage_3.mcfunction", "mcfunction", 0, 0, 5, 0, 2, 7
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\customs\hype-o-meter.mcfunction", "mcfunction", 0, 0, 11, 0, 4, 15
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\customs\lebensfrucht.mcfunction", "mcfunction", 0, 0, 15, 0, 13, 28
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\element_fishing_rod\crafting_main.mcfunction", "mcfunction", 0, 0, 31, 6, 18, 55
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\farming-frucht\timer.mcfunction", "mcfunction", 0, 0, 16, 0, 15, 31
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\farming-frucht\trigger.mcfunction", "mcfunction", 0, 0, 6, 0, 4, 10
